acronym,defination
AFSA,Armed Forces Security [SIGINT] Agency[USA]
AKEL,Cyprus Communist Party
Amtorg,"American-Soviet Trading Corporation, New York"
ASA,Army Security [SIGINT] Agency [USA]
AVH,Hungarian security and intelligence agency
AVO,predecessor of AVH
BfV,FRG security service
BND,FRG foreign intelligence agency
CDU,Christian Democratic Union [FRG]
Cheka,All-Russian Extraordinary Commission for Combating Counter-Revolution and Sabotage: predecessor KGB (1917-22)
CIA,Central Intelligence Agency [USA]
COCOM,Coordinating Committee for East-West Trade
Comecon,[Soviet Bloc] Council for Mutual Economic Aid Comintern Communist International
CPC,Christian Peace Conference
,Communist Party of Canada
CPCz,Communist Party of Czechoslovakia
CPGB,Communist Party of Great Britain
CPSU,Communist Party of the Soviet Union
CPUSA,Communist Party of the United States of America
CSU,Christian Social Union [FRG: ally of CDU]
DCI,Director of Central Intelligence [USA]
DGS,Portuguese security service
DGSE,French foreign intelligence service
DIA,Defense Intelligence Agency [USA]
DLB,dead letter-box
DRG,Soviet sabotage and intelligence group
DS,Bulgarian security and intelligence service
DST,French security service
F Line,F Line “Special Actions” department in KGB residencies
FAPSI,Russian (post-Soviet) SIGINT agency
FBI,Federal Bureau of Investigation [USA]
FCD,"First Chief [Foreign Intelligence] Directorate, KGB"
FCO,Foreign and Commonwealth Office [UK]
FRG,Federal Republic of Germany
GCHQ,Government Communications Head-Quarters [British SIGINT Agency]
GDR,German Democratic Republic
GPU,"Soviet security and intelligence service (within NKVD, 1922-3)"
GRU,Soviet Military Intelligence
GUGB,"Soviet security and intelligence service (within NKVD, 1943-43)"
Gulag,Labour Camps Directorate
HUMINT,intelligence from human sources (espionage)
HVA,GDR foreign intelligence service
ICBM,intercontinental ballistic missile
IMINT,imagery intelligence
INO,"foreign intelligence department of Cheka/GPU/OGPU/ GUGB, 1920-1941; predecessor of INU"
INU,"foreign intelligence directorate of NKGB/GUGB/MGB, 1941-54; predecessor of FCD"
IRA,Irish Republican Army
JIC,Joint Intelligence Committee [UK] club of former political prisoners jailed under
K-231,Article 231 of the Czechoslovak criminal code
